task,model,arm,seed,split,primary,summary
cluener,llama32_3b_base,base,,dev,4.4673539518900345,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_base/dev/SUMMARY.json
cluener,llama32_3b_base,base,,test,5.62358276643991,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_base/test/SUMMARY.json
cluener,llama32_3b_base,hidden,6100,dev,64.5360824742268,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_s6100/dev/SUMMARY.json
cluener,llama32_3b_base,hidden,6100,test,63.28463637823086,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_s6100/test/SUMMARY.json
cluener,llama32_3b_base,hidden,6101,dev,65.09240246406571,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_s6101/dev/SUMMARY.json
cluener,llama32_3b_base,hidden,6101,test,64.57831325301204,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_s6101/test/SUMMARY.json
cluener,llama32_3b_base,hidden,6102,dev,66.66666666666667,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_s6102/dev/SUMMARY.json
cluener,llama32_3b_base,hidden,6102,test,62.65060240963855,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_s6102/test/SUMMARY.json
cluener,llama32_3b_base,hidden_budget,6100,dev,64.859228362878,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_budget_s6100/dev/SUMMARY.json
cluener,llama32_3b_base,hidden_budget,6100,test,63.37528234914488,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_budget_s6100/test/SUMMARY.json
cluener,llama32_3b_base,hidden_budget,6101,dev,65.02057613168725,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_budget_s6101/dev/SUMMARY.json
cluener,llama32_3b_base,hidden_budget,6101,test,64.61439794773128,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_budget_s6101/test/SUMMARY.json
cluener,llama32_3b_base,hidden_budget,6102,dev,66.73640167364017,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_budget_s6102/dev/SUMMARY.json
cluener,llama32_3b_base,hidden_budget,6102,test,62.642478728527855,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_budget_s6102/test/SUMMARY.json
cluener,llama32_3b_base,hidden_both,6100,dev,68.36215666327568,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_both_s6100/dev/SUMMARY.json
cluener,llama32_3b_base,hidden_both,6100,test,64.77073014858604,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_both_s6100/test/SUMMARY.json
cluener,llama32_3b_base,hidden_both,6101,dev,67.14579055441479,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_both_s6101/dev/SUMMARY.json
cluener,llama32_3b_base,hidden_both,6101,test,66.5159101922145,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_both_s6101/test/SUMMARY.json
cluener,llama32_3b_base,hidden_both,6102,dev,64.83050847457628,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_both_s6102/dev/SUMMARY.json
cluener,llama32_3b_base,hidden_both,6102,test,65.9550008211529,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama32_3b_base_hidden_both_s6102/test/SUMMARY.json
cluener,llama31_8b_base,base,,dev,22.471910112359552,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_base/dev/SUMMARY.json
cluener,llama31_8b_base,base,,test,20.380987608655445,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_base/test/SUMMARY.json
cluener,llama31_8b_base,hidden,6100,dev,73.1048805815161,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_s6100/dev/SUMMARY.json
cluener,llama31_8b_base,hidden,6100,test,70.42707493956486,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_s6100/test/SUMMARY.json
cluener,llama31_8b_base,hidden,6101,dev,73.792394655704,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_s6101/dev/SUMMARY.json
cluener,llama31_8b_base,hidden,6101,test,71.03258226616956,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_s6101/test/SUMMARY.json
cluener,llama31_8b_base,hidden,6102,dev,72.87784679089027,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_s6102/dev/SUMMARY.json
cluener,llama31_8b_base,hidden,6102,test,69.72536348949919,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_s6102/test/SUMMARY.json
cluener,llama31_8b_base,hidden_budget,6100,dev,71.99170124481327,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_budget_s6100/dev/SUMMARY.json
cluener,llama31_8b_base,hidden_budget,6100,test,70.3953712632594,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_budget_s6100/test/SUMMARY.json
cluener,llama31_8b_base,hidden_budget,6101,dev,73.25102880658436,/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/llama_transfer_20260918/evaluations/cluener_llama31_8b_base_hidden_budget_s6101/dev/SUMMARY.json
