study,stage,model,task,method,placement,rank,bias,n,mean,reused,paired_five_seed_complete,seed_scores,source
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,none,none,0,False,5,69.1885333384414,5,True,"{""6100"": 68.26556543837357, ""6101"": 69.14175506268082, ""6102"": 69.44533504328311, ""6103"": 69.6327455104352, ""6104"": 69.45726563743435}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,affine,e,16,True,5,69.59351143930473,3,True,"{""6100"": 69.06543544021653, ""6101"": 69.36231420808694, ""6102"": 69.77116338614178, ""6103"": 69.6925800740383, ""6104"": 70.07606408804014}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,affine,e,8,True,3,69.52163709912942,3,False,"{""6100"": 69.20624800765061, ""6101"": 69.47604550552796, ""6102"": 69.88261778420969}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,affine,u,16,False,5,70.41373351548616,3,True,"{""6100"": 70.38529743672417, ""6101"": 70.74417119131267, ""6102"": 69.66580976863753, ""6103"": 70.19954203467452, ""6104"": 71.0738471460819}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,affine,u,8,False,3,70.07139235734081,3,False,"{""6100"": 70.13153673403914, ""6101"": 69.87567739878865, ""6102"": 70.20696293919461}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,affine,eu,16,True,5,70.46588022828941,5,True,"{""6100"": 70.4669887278583, ""6101"": 70.29972752043597, ""6102"": 70.29275315949448, ""6103"": 70.38668624571709, ""6104"": 70.88324548794122}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,cluener,affine,eu,8,True,3,70.20319877780196,3,False,"{""6100"": 70.62590043220746, ""6101"": 69.76446082358596, ""6102"": 70.21923507761242}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,none,none,0,False,5,81.484375,5,True,"{""7100"": 81.4453125, ""7101"": 81.8359375, ""7102"": 81.25, ""7103"": 81.4453125, ""7104"": 81.4453125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,affine,e,16,True,5,82.1484375,3,True,"{""7100"": 81.25, ""7101"": 82.91015625, ""7102"": 81.4453125, ""7103"": 82.6171875, ""7104"": 82.51953125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,affine,e,8,True,3,82.16145833333333,3,False,"{""7100"": 82.03125, ""7101"": 82.71484375, ""7102"": 81.73828125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,affine,u,16,False,5,81.9921875,3,True,"{""7100"": 81.8359375, ""7101"": 82.32421875, ""7102"": 81.4453125, ""7103"": 82.2265625, ""7104"": 82.12890625}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
boundary_lora_comparison_20260922,common,qwen25_7b_base,wikisql,affine,u,8,False,3,81.80338541666667,3,False,"{""7100"": 82.03125, ""7101"": 81.93359375, ""7102"": 81.4453125}",/commondocument/wz/cross_encoder_workspace/im_exp/lora/reviewer_followup/boundary_lora_comparison_20260922/study/RESULTS.json
